"Isolate_Pathname","Category","Assembly_Type","Sequencing_Kit","Filtering","Polishing","sample_id","num_contigs","size","gc","md5","rep_type(s)","rep_type_accession(s)","relaxase_type(s)","relaxase_type_accession(s)","mpf_type","mpf_type_accession(s)","orit_type(s)","orit_accession(s)","predicted_mobility","mash_nearest_neighbor","mash_neighbor_distance","mash_neighbor_identification","primary_cluster_id","secondary_cluster_id","predicted_host_range_overall_rank","predicted_host_range_overall_name","observed_host_range_ncbi_rank","observed_host_range_ncbi_name","reported_host_range_lit_rank","reported_host_range_lit_name","associated_pmid(s)"
"EC-A-0012-C5-H-CuP-CeN_HRUF_mobsuite","HRUF","Hybrid","Rapid","Unfiltered","Pilon","AB443",1,5569,46.7947566888131,"172dd7594e0aa9cf025c097822a587c2","rep_cluster_2350","CP041342_00001","MOBP","NC_022662_00003","-","-","MOBP","MF083142","mobilizable","CP035351",0.000830728,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_HRUF_mobsuite","HRUF","Hybrid","Rapid","Unfiltered","Pilon","AA329",1,93702,52.0330409169495,"e3db76095b3347f2179b79f613354bb7","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF","NC_017627_00068","MPF_F","NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_019094_00068,NC_014615_00033,NC_008460_00107,NC_013437_00116,08-5333_00200","MOBF","CP010020","conjugative","NC_013362",0.0325113,"Escherichia coli O26:H11 str. 11368","AA329","-","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LFM_LLFM_mobsuite","LLFM","Long_Read","Ligation","Filtered","Medaka","AB443",1,5570,46.7324955116697,"f6ce8cd114b20c990e3c5efe0e147e33","rep_cluster_2350","CP041342_00001","MOBP,MOBP","NC_017321_00002,NC_019076_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.00467416,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LFM_LLFM_mobsuite","LLFM","Long_Read","Ligation","Filtered","Medaka","AA329",1,93606,51.9282951947525,"90f93affdbeca7f32167fac5a819b854","IncFIA","CP022610_00144","MOBF,MOBF,MOBF","NC_017627_00068,AP018572_00011,NC_011964_00125","MPF_F","NC_008460_00107,NC_014615_00033,NC_019094_00068,NC_019037_00027,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_017659_00099,NC_010409_00124,NZ_CM001154_00091,NC_022651_00077,NC_007607_00115","MOBF","CP010020","conjugative","NC_013362",0.0394988,"Escherichia coli O26:H11 str. 11368","AA329","-","order","Enterobacterales","order","Enterobacterales","order","Enterobacterales","10773089; 25389419; 19897651; 24247128; 20851899; 22511964"
"EC-A-0012-C5-H-CuP-CeN_LLFMP_mobsuite","LLFMP","Long_Read","Ligation","Filtered","Medaka_Pilon","AA329",1,93666,52.0049964768433,"1321e617ca6f60fb73319791803c32ef","IncFIA","CP022610_00144","MOBF,MOBF","NC_017627_00068,MG904998_00124","MPF_F","NC_008460_00107,NC_009837_00049,NC_019094_00068,NC_019037_00027,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200","MOBF","CP010020","conjugative","NC_013362",0.0326168,"Escherichia coli O26:H11 str. 11368","AA329","-","order","Enterobacterales","order","Enterobacterales","order","Enterobacterales","10773089; 25389419; 19897651; 24247128; 20851899; 22511964"
"EC-A-0012-C5-H-CuP-CeN_LLFMP_mobsuite","LLFMP","Long_Read","Ligation","Filtered","Medaka_Pilon","AB443",1,5569,46.7947566888131,"f4558834f6163a8924de5aab7f6a7040","rep_cluster_2350","CP041342_00001","MOBP","NC_019076_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.000855821,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LLFM_mobsuite","LLFM","Long_Read","Ligation","Filtered","Medaka","AA329",1,93606,51.9282951947525,"90f93affdbeca7f32167fac5a819b854","IncFIA","CP022610_00144","MOBF,MOBF,MOBF","NC_017627_00068,AP018572_00011,NC_011964_00125","MPF_F","NC_008460_00107,NC_014615_00033,NC_019094_00068,NC_019037_00027,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_017659_00099,NC_010409_00124,NZ_CM001154_00091,NC_022651_00077,NC_007607_00115","MOBF","CP010020","conjugative","NC_013362",0.0394988,"Escherichia coli O26:H11 str. 11368","AA329","-","order","Enterobacterales","order","Enterobacterales","order","Enterobacterales","10773089; 25389419; 19897651; 24247128; 20851899; 22511964"
"EC-A-0012-C5-H-CuP-CeN_LLFM_mobsuite","LLFM","Long_Read","Ligation","Filtered","Medaka","AB443",1,5570,46.7324955116697,"f6ce8cd114b20c990e3c5efe0e147e33","rep_cluster_2350","CP041342_00001","MOBP,MOBP","NC_017321_00002,NC_019076_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.00467416,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LLF_mobsuite","LLF","Long_Read","Ligation","Filtered","Unpolished","AA329",1,93406,51.9806008179346,"cc278b09d30b614c2133cd482e766036","IncFIA","CP022610_00144","MOBF,MOBF","NC_011980_00044,AP018572_00011","MPF_F","NC_008460_00107,NC_014615_00033,NC_019094_00068,NC_013362_00053,NC_019037_00027,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_017659_00099,NC_010409_00124,NZ_CM001154_00091,NC_022651_00077,NC_007607_00115","MOBF","CP010020","conjugative","NC_013362",0.0397669,"Escherichia coli O26:H11 str. 11368","AA329","-","order","Enterobacterales","order","Enterobacterales","order","Enterobacterales","10773089; 25389419; 19897651; 24247128; 20851899; 22511964"
"EC-A-0012-C5-H-CuP-CeN_LLF_mobsuite","LLF","Long_Read","Ligation","Filtered","Unpolished","AB443",1,5542,46.8242511728618,"fbe53260f9909bdc7efe7b9be517a4b4","rep_cluster_2350","CP041342_00001","MOBP,MOBP,MOBP","NC_017321_00002,CP043517_00004,NC_020251_00005","-","-","MOBP","MF083142","mobilizable","CP035351",0.0064892,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LLUFMP_mobsuite","LLUFMP","Long_Read","Ligation","Unfiltered","Medaka_Pilon","AB443",1,5569,46.7947566888131,"9f9ac2e69f41bff7d641aa369d545d76","rep_cluster_2350","CP041342_00001","MOBP","NC_019076_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.000830728,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LLUFMP_mobsuite","LLUFMP","Long_Read","Ligation","Unfiltered","Medaka_Pilon","AA329",1,93678,52.0004696940584,"0a52f216157d49fe3ea2f0fab0b0f673","IncFIA","CP022610_00144","MOBF","NC_017627_00068","MPF_F","NC_008460_00107,NC_009837_00049,NC_019094_00068,NC_019037_00027,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200","MOBF","CP010020","conjugative","NC_013362",0.0327227,"Escherichia coli O26:H11 str. 11368","AA329","-","order","Enterobacterales","order","Enterobacterales","order","Enterobacterales","10773089; 25389419; 19897651; 24247128; 20851899; 22511964"
"EC-A-0012-C5-H-CuP-CeN_LLUFM_mobsuite","LLUFM","Long_Read","Ligation","Unfiltered","Medaka","AB443",1,5562,46.7817331895002,"e0494fb5f2ad2ad7bece8bf8ed86097f","rep_cluster_2350","CP041342_00001","MOBP,MOBP","NC_019076_00002,NC_017321_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.00430121,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LLUFM_mobsuite","LLUFM","Long_Read","Ligation","Unfiltered","Medaka","AA329",1,93610,51.9271445358402,"75f08f514d6bdc43dd81d29b43a4e0d5","IncFIA","CP022610_00144","MOBF,MOBF,MOBF,MOBF","CP029214_00066,NC_011980_00044,NC_017639_00103,AP018572_00011","MPF_F","NC_008460_00107,NC_014615_00033,NC_010488_00021,NC_019094_00068,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_017659_00099,NZ_CM001154_00091,NC_022651_00077,NC_007607_00115,NC_009378_00101","MOBF","CP010020","conjugative","NC_013362",0.0391011,"Escherichia coli O26:H11 str. 11368","AA329","-","order","Enterobacterales","order","Enterobacterales","order","Enterobacterales","10773089; 25389419; 19897651; 24247128; 20851899; 22511964"
"EC-A-0012-C5-H-CuP-CeN_LRFMP_mobsuite","LRFMP","Long_Read","Rapid","Filtered","Medaka_Pilon","AA329",1,93683,52.0040989293682,"7a14580ab0646477dd53310f4cd16e56","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF","NC_017627_00068","MPF_F","NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_019094_00068,NC_014615_00033,NC_008460_00107,NC_013437_00116,08-5333_00200","MOBF","CP010020","conjugative","NC_013362",0.0326168,"Escherichia coli O26:H11 str. 11368","AA329","-","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LRFM_mobsuite","LRFM","Long_Read","Rapid","Filtered","Medaka","AA329",1,93581,51.9357561898249,"976bcd598fbba23a693c5c570b26c7a5","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF,MOBF","MF535908_00027,NC_011980_00044","MPF_F","NC_022651_00077,NC_019037_00043,NC_017659_00099,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_008460_00097,NC_017054_00100,NC_009837_00049,NC_008460_00107,NC_009378_00101,NC_019072_00073","MOBF","CP010020","conjugative","NC_013362",0.0393656,"Escherichia coli O26:H11 str. 11368","AA329","-","genus","Escherichia","genus","Escherichia","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LRF_mobsuite","LRF","Long_Read","Rapid","Filtered","Unpolished","AA329",1,93141,51.7956646374851,"0b3cb35ab656e53432215e7d090cca96","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF,MOBF","AP018572_00011,NC_011980_00044","MPF_F","NC_022651_00077,NZ_CM001154_00091,NC_017639_00090,NC_019002_00072,NC_017639_00100,NC_008460_00097,NC_013362_00053,NC_019094_00068,NC_014615_00033,NC_008460_00107","MOBF","CP010020","conjugative","NC_013362",0.0417116,"Escherichia coli O26:H11 str. 11368","AA329","-","genus","Escherichia","genus","Escherichia","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LRUFMP_mobsuite","LRUFMP","Long_Read","Rapid","Unfiltered","Medaka_Pilon","AA329",1,93793,52.0038808866333,"1d6093292e5785b63a484e6e5149c034","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF","NC_017627_00068","MPF_F","NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_019094_00068,NC_014615_00033,NC_008460_00107,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_013437_00116,08-5333_00200","MOBF","CP010020","conjugative","NC_013362",0.0327227,"Escherichia coli O26:H11 str. 11368","AA329","-","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LRUFMP_mobsuite","LRUFMP","Long_Read","Rapid","Unfiltered","Medaka_Pilon","AB443",1,11130,46.7654986522911,"805e200464dadbd60497391ec3336e54","rep_cluster_2350","CP041342_00001","MOBP,MOBP","NC_019076_00002,LT985292_00003","-","-","MOBP","MF083142","mobilizable","CP035351",0.0037263,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LRUFMP_mobsuite","LRUFMP","Long_Read","Rapid","Unfiltered","Medaka_Pilon","AC748",1,2073,47.3227206946454,"0cb67f795ea346e7996f7f0ce4b813d5","Col(BS512)","NC_010656","-","-","-","-","-","-","non-mobilizable","CP030115",0.000532603,"Escherichia coli","AC748","AM073","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LRUFM_mobsuite","LRUFM","Long_Read","Rapid","Unfiltered","Medaka","AC748",1,2071,47.271849348141,"cd46265fefbcea2340664f44d6be809a","Col(BS512)","NC_010656","-","-","-","-","-","-","non-mobilizable","CP030115",0.00178577,"Escherichia coli","AC748","AM073","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LRUFM_mobsuite","LRUFM","Long_Read","Rapid","Unfiltered","Medaka","AA329",1,93692,51.9371984801264,"6d4e01d5b3f3013abfbf2efff2b43ed0","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF,MOBF,MOBF","MF535908_00027,NC_011980_00044,CP029214_00066","MPF_F","NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_013362_00053,NC_017054_00100,NC_009837_00049,NC_008460_00107,NC_022651_00077,NC_019037_00043,NC_017659_00099,NC_019094_00090,NC_017639_00094,NC_009378_00101,NC_019072_00073","MOBF","CP010020","conjugative","NC_013362",0.0393656,"Escherichia coli O26:H11 str. 11368","AA329","-","genus","Escherichia","genus","Escherichia","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LRUFM_mobsuite","LRUFM","Long_Read","Rapid","Unfiltered","Medaka","AB443",1,11128,46.7379583033789,"6634084f3875328461027272f2bcdde9","rep_cluster_2350","CP041342_00001","MOBP,MOBP,MOBP","NC_019076_00002,NC_017321_00002,LT985292_00003","-","-","MOBP","MF083142","mobilizable","CP035351",0.00531349,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LRUF_mobsuite","LRUF","Long_Read","Rapid","Unfiltered","Unpolished","AA329",1,93217,51.7888368001545,"c2863c14ca496accd6fdb1c6d41ba49d","IncFIA,IncFIC","CP022610_00144,CP003035","MOBF,MOBF","AP018572_00011,NC_011980_00044","MPF_F","NC_017639_00100,NC_017054_00096,NC_008460_00097,NC_013362_00053,NC_019094_00068,NC_014615_00033,NC_008460_00107,NC_022651_00077,NC_019037_00043,NC_017639_00090,NC_017659_00099,NC_017630_00031,NC_017639_00094","MOBF","CP010020","conjugative","NC_013362",0.0415686,"Escherichia coli O26:H11 str. 11368","AA329","-","genus","Escherichia","genus","Escherichia","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LRUF_mobsuite","LRUF","Long_Read","Rapid","Unfiltered","Unpolished","AC748",1,2060,47.2815533980583,"549e17c4ed83e2c313786c1f9898b9b5","Col(BS512)","NC_010656","-","-","-","-","-","-","non-mobilizable","CP030115",0.00604372,"Escherichia coli","AC748","AM073","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0012-C5-H-CuP-CeN_LRUF_mobsuite","LRUF","Long_Read","Rapid","Unfiltered","Unpolished","AB443",1,11035,46.5518803806072,"cda9f0a4faf00b68d041e8f77baac35e","rep_cluster_2350","CP041342_00001","MOBP,MOBP,MOBP,MOBP","NC_019076_00002,NC_016903_00002,CP043517_00004,NC_017321_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.0090861,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LR_LUF_LLUF_mobsuite","LLUF","Long_Read","Ligation","Unfiltered","Unpolished","AB443",1,5540,46.8592057761733,"70048fbb0c37115a44048f0d9460e19d","rep_cluster_2350","CP041342_00001","MOBP,MOBP,MOBP","NC_019076_00002,CP043517_00004,NC_017321_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.00676872,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0012-C5-H-CuP-CeN_LR_LUF_LLUF_mobsuite","LLUF","Long_Read","Ligation","Unfiltered","Unpolished","AA329",1,93403,51.9758466002163,"cfb0f073ee952e7649a33d0c33e1d6a1","IncFIA","CP022610_00144","MOBF,MOBF","NC_011980_00044,AP018572_00011","MPF_F","NC_008460_00107,NC_014615_00033,NC_019094_00068,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_017659_00099,NC_017639_00090,NZ_CM001154_00091,NC_022651_00077,NC_007607_00115","MOBF","CP010020","conjugative","NC_013362",0.0401734,"Escherichia coli O26:H11 str. 11368","AA329","-","order","Enterobacterales","order","Enterobacterales","order","Enterobacterales","10773089; 25389419; 19897651; 24247128; 20851899; 22511964"
"EC-A-0205-C9-H-CuP-CeP_HLF_mobsuite","HLF","Hybrid","Ligation","Filtered","Pilon","AA329",1,70710,52.2259934945552,"e652e749744c1ab95d63ed805bbcad4a","IncFIA,IncFIC","000136__AP014877_00014,CP003035","MOBF","NC_017627_00068","MPF_F","NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_019037_00027,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200","MOBF","CP015086","conjugative","NC_013362",0.0224927,"Escherichia coli O26:H11 str. 11368","AA329","AI236","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0205-C9-H-CuP-CeP_HLF_mobsuite","HLF","Hybrid","Ligation","Filtered","Pilon","AC748",1,2089,47.1996170416467,"506032985d6497c60cd41f6002e4b82f","Col(BS512)","NC_010656","-","-","-","-","-","-","non-mobilizable","CP030115",0.000385581,"Escherichia coli","AC748","AM073","family","Enterobacteriaceae","family","Enterobacteriaceae","-","-","-"
"EC-A-0205-C9-H-CuP-CeP_HLF_mobsuite","HLF","Hybrid","Ligation","Filtered","Pilon","AA378",1,95774,47.6162632864869,"f2d1c77376f70d905d019167d0af62c7","IncHI1B","000138__CP021336_00001","-","-","-","-","-","-","non-mobilizable","CP012494",0.0284057,"Escherichia coli","AA378","-","order","Enterobacterales","order","Enterobacterales","genus","Salmonella",18606786
"EC-A-0205-C9-H-CuP-CeP_HLF_mobsuite","HLF","Hybrid","Ligation","Filtered","Pilon","AB443",1,5569,46.7947566888131,"9d386aec2e692e4b91c7693bcb84572b","rep_cluster_2350","CP041342_00001","MOBP,MOBP","NC_019076_00002,NC_017321_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.000855821,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0205-C9-H-CuP-CeP_HLUF_mobsuite","HLUF","Hybrid","Ligation","Unfiltered","Pilon","AB443",1,5569,46.7947566888131,"5890c8b84dd545504cbdb6c2024afc61","rep_cluster_2350","CP041342_00001","MOBP","NC_019076_00002","-","-","MOBP","MF083142","mobilizable","CP035351",0.000830728,"Escherichia coli","AB443","AK226","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","multi-phylla","Actinobacteria,Bacteroidetes,Firmicutes,Proteobacteria","genus","Escherichia","6263753; 17122402; 26802429"
"EC-A-0205-C9-H-CuP-CeP_HLUF_mobsuite","HLUF","Hybrid","Ligation","Unfiltered","Pilon","AA378",1,95755,47.6027361495483,"863d982aa750d1be8bcd798d33924da4","IncHI1B","000138__CP021336_00001","MOBP","NC_021819_00066","-","-","-","-","mobilizable","CP012494",0.0284967,"Escherichia coli","AA378","-","order","Enterobacterales","order","Enterobacterales","genus","Salmonella",18606786
